,date,crop_type,soil_type,soil_ph,temperature,humidity,wind_speed,n,p,k,crop_yield,soil_quality,year,state,avg_rainfall_mm
,01-01-2014,Barley,Sandy,6.75,19.75184841,80,2.682682555,50,40,30,58.93979634,35,2014,Tamil Nadu,746.7
,02-01-2014,Barley,Saline,8,11.40077896,80,11.3824489,65,55,45,8.159006262,13.75,2014,Tamil Nadu,746.7
,03-01-2014,Barley,Loamy,6.5,18.71855642,80,12.11494393,70,60,50,81.29906552,60,2014,Tamil Nadu,746.7
,04-01-2014,Barley,Saline,8,16.72451168,80,13.71104822,65,55,45,33.29445899,13.75,2014,Tamil Nadu,746.7
,05-01-2014,Barley,Loamy,6.5,17.50798183,80,8.195808263,70,60,50,61.85110776,60,2014,Tamil Nadu,746.7
,06-01-2014,Barley,Saline,8,28.60084583,71.39915417,9.985912016,65,55,45,6.483882013,13.75,2014,Tamil Nadu,746.7
,07-01-2014,Barley,Peaty,5.5,11.56412412,80,5.318328783,55,45,35,10.13581832,22.5,2014,Tamil Nadu,746.7
,08-01-2014,Barley,Saline,8,26.22403303,73.77596697,6.019504702,65,55,45,25.40515212,13.75,2014,Tamil Nadu,746.7
,09-01-2014,Barley,Peaty,5.5,10.65957887,80,10.8429756,55,45,35,3.339937412,22.5,2014,Tamil Nadu,746.7
,10-01-2014,Barley,Peaty,5.5,14.34928473,80,15.73695292,55,45,35,25.98794451,22.5,2014,Tamil Nadu,746.7
,11-01-2014,Barley,Sandy,6.75,10.86384528,80,6.687334634,50,40,30,5.298909847,35,2014,Tamil Nadu,746.7
,12-01-2014,Barley,Loamy,6.5,12.98222522,80,12.22588905,70,60,50,30.80338267,60,2014,Tamil Nadu,746.7
,13-01-2014,Barley,Loamy,6.5,19.38912584,80,10.70039739,70,60,50,91.28471531,60,2014,Tamil Nadu,746.7
,14-01-2014,Barley,Clay,6.25,9.823788388,80,6.344531076,60,50,40,0,43.75,2014,Tamil Nadu,746.7
,15-01-2014,Barley,Loamy,6.5,22.91019091,77.08980909,5.430771283,70,60,50,56.5605192,60,2014,Tamil Nadu,746.7
,16-01-2014,Barley,Saline,8,18.80125547,80,17.16963482,65,55,45,47.75517776,13.75,2014,Tamil Nadu,746.7
,17-01-2014,Barley,Loamy,6.5,15.27459649,80,3.132816229,70,60,50,54.27155613,60,2014,Tamil Nadu,746.7
,18-01-2014,Barley,Clay,6.25,11.59869206,80,10.54159253,60,50,40,14.40188901,43.75,2014,Tamil Nadu,746.7
,19-01-2014,Barley,Loamy,6.5,18.48103182,80,6.948423488,70,60,50,80.27298638,60,2014,Tamil Nadu,746.7
,20-01-2014,Barley,Saline,8,11.87985353,80,4.874490161,65,55,45,11.95300026,13.75,2014,Tamil Nadu,746.7
,21-01-2014,Barley,Loamy,6.5,12.90928483,80,6.866515761,70,60,50,25.60125484,60,2014,Tamil Nadu,746.7
,22-01-2014,Barley,Peaty,5.5,15.72613389,80,9.983990587,55,45,35,28.88413579,22.5,2014,Tamil Nadu,746.7
,23-01-2014,Barley,Saline,8,10.18096245,80,13.38720831,65,55,45,1.03665423,13.75,2014,Tamil Nadu,746.7
,24-01-2014,Barley,Clay,6.25,10.97606542,80,6.9875777,60,50,40,6.420503881,43.75,2014,Tamil Nadu,746.7
,25-01-2014,Barley,Sandy,6.75,15.82348914,80,5.518511076,50,40,30,30.81701941,35,2014,Tamil Nadu,746.7
,26-01-2014,Barley,Clay,6.25,10.91532165,80,11.25475766,60,50,40,6.782802102,43.75,2014,Tamil Nadu,746.7
,27-01-2014,Barley,Loamy,6.5,15.53839935,80,13.36555957,70,60,50,56.3780777,60,2014,Tamil Nadu,746.7
